Handle,Command,Title,Body HTML,Tags,SEO Title,SEO Description,Metafield: custom.material [single_line_text_field],Metafield: custom.nominal_size [single_line_text_field],Metafield: custom.pattern [single_line_text_field],Metafield: custom.finish [single_line_text_field],Metafield: custom.color_family [single_line_text_field],Metafield: custom.units_per_box [number_integer],Metafield: custom.sqft_per_box [number_decimal],Metafield: custom.thickness_in [number_decimal],Metafield: custom.price_per_sqft [number_decimal],Metafield: custom.price_unit [single_line_text_field],Metafield: custom.source_sku [single_line_text_field]
calgldmos1319,UPDATE,"Calacatta Gold White Marble Herringbone 5/8"" x 1 1/4"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 5/8"" x 1 1/4""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Herringbone</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 6.88 sq ft per box (7 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Shower Floor, White, Herringbone, Polished, Micro Mosaic","Calacatta Gold White Marble Herringbone 5/8"" x 1 1/4"" Mosaic — Polishe","Calacatta Gold White Marble Herringbone 5/8"" x 1 1/4"" Mosaic — Polished. Natural marble sold by the box, $24.72 per sq ft. Samples available. Ships across the continental US.",Marble,"5/8"" x 1 1/4""",Herringbone,Polished,White,7,6.88,0.375,24.72,sq ft,CAGOMARMOS404725
thaswhtbor1425,UPDATE,"Thassos Pure White Marble Basketweave Border w/ Ming Green 4 3/4"" x 12"" — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 4 3/4"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Basketweave</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Basketweave, Polished","Thassos Pure White Marble Basketweave Border w/ Ming Green 4 3/4"" x 12","Thassos Pure White Marble Basketweave Border w/ Ming Green 4 3/4"" x 12"" — Polished. Natural marble sold by the piece, $95.56 per piece. Samples available. Ships across the continental US.",Marble,"4 3/4"" x 12""",Basketweave,Polished,White,1,,0.75,95.56,piece,THWHMARBOR518497
thaswhtbor1423,UPDATE,"Thassos Pure White Marble Basketweave Border w/ Blue-Gray 4 3/4"" x 12"" — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 4 3/4"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Basketweave</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Basketweave, Polished","Thassos Pure White Marble Basketweave Border w/ Blue-Gray 4 3/4"" x 12""","Thassos Pure White Marble Basketweave Border w/ Blue-Gray 4 3/4"" x 12"" — Polished. Natural marble sold by the piece, $89.30 per piece. Samples available. Ships across the continental US.",Marble,"4 3/4"" x 12""",Basketweave,Polished,White,1,,0.75,89.30,piece,THWHMARBOR393185
calgldmos1369,UPDATE,"Calacatta Gold White Marble Arabesque 12"" x 12"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Arabesque</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 8.0 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Arabesque, Polished","Calacatta Gold White Marble Arabesque 12"" x 12"" Mosaic — Polished","Calacatta Gold White Marble Arabesque 12"" x 12"" Mosaic — Polished. Natural marble sold by the box, $23.71 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",Arabesque,Polished,White,8,8.0,0.375,23.71,sq ft,CAGOMARMOS798305
nero-marquina-marble-16x24-leathered-tile,UPDATE,"Nero Marquina Black Marble Leathered 16"" x 24"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 16"" x 24""</li><li><strong>Finish</strong> — Leathered</li><li><strong>Colour family</strong> — Black</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, Black, Leathered, Large Format","Nero Marquina Black Marble Leathered 16"" x 24"" Tile","Nero Marquina Black Marble Leathered 16"" x 24"" Tile. Natural marble sold by the piece, $47.39 per piece. Samples available. Ships across the continental US.",Marble,"16"" x 24""",,Leathered,Black,1,,0.375,47.39,piece,NEMAMARTIL670005
checkers-with-thassos-white-calacatta-gold-24x24-polished-tile,UPDATE,"Checkerboard Thassos White & Calacatta Gold Polished 24"" x 24"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 24"" x 24""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Checkerboard</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 40.0 sq ft per box (10 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, White, Checkerboard, Polished, Large Format","Checkerboard Thassos White & Calacatta Gold Polished 24"" x 24"" Tile","Checkerboard Thassos White & Calacatta Gold Polished 24"" x 24"" Tile. Natural marble sold by the box, $57.71 per sq ft. Samples available. Ships across the continental US.",Marble,"24"" x 24""",Checkerboard,Polished,White,10,40.0,0.375,57.71,sq ft,CHTHMARTIL153397
celeste-honed-marble-blend-mosaic-tile-in-cinder-grey-calacatta-losanna,UPDATE,"Celeste Honed Marble Blend in Cinder Grey & Calacatta Losanna 14 1/16"" x 16 1/8"" Mosaic","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 14 1/16"" x 16 1/8""</li><li><strong>Finish</strong> — Honed</li><li><strong>Pattern</strong> — Leaf</li><li><strong>Colour family</strong> — Grey</li><li><strong>Coverage</strong> — 7.85 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Grey, Leaf, Honed","Celeste Honed Marble Blend in Cinder Grey & Calacatta Losanna 14 1/16""","Celeste Honed Marble Blend in Cinder Grey & Calacatta Losanna 14 1/16"" x 16 1/8"" Mosaic. Natural marble sold by the box, $36.99 per sq ft. Samples available. Ships across the continental US.",Marble,"14 1/16"" x 16 1/8""",Leaf,Honed,Grey,8,7.85,0.375,36.99,sq ft,CEHOMARMOS095221
checkerboard-bianco-dolomite-calacatta-gold-24x24-polished-tile,UPDATE,"Checkerboards Bianco Dolomite & Calacatta Gold Polished 24"" x 24"" Tile","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 24"" x 24""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Checkerboard</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 40.0 sq ft per box (10 pieces)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Floor, Wall, White, Checkerboard, Polished, Large Format","Checkerboards Bianco Dolomite & Calacatta Gold Polished 24"" x 24"" Tile","Checkerboards Bianco Dolomite & Calacatta Gold Polished 24"" x 24"" Tile. Natural marble sold by the box, $52.65 per sq ft. Samples available. Ships across the continental US.",Marble,"24"" x 24""",Checkerboard,Polished,White,10,40.0,0.375,52.65,sq ft,CHBIMARTIL426165
calgldmos1357,UPDATE,"Calacatta Gold White Marble Mini Chevron 12"" x 12"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Chevron</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 8.0 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Chevron, Polished","Calacatta Gold White Marble Mini Chevron 12"" x 12"" Mosaic — Polished","Calacatta Gold White Marble Mini Chevron 12"" x 12"" Mosaic — Polished. Natural marble sold by the box, $22.89 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",Chevron,Polished,White,8,8.0,0.375,22.89,sq ft,CAGOMARMOS494113
calgldmos1367,UPDATE,"Calacatta Gold White Marble Mini Versailles 12"" x 12"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 12"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Versailles</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 8.0 sq ft per box (8 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, White, Versailles, Polished","Calacatta Gold White Marble Mini Versailles 12"" x 12"" Mosaic — Polishe","Calacatta Gold White Marble Mini Versailles 12"" x 12"" Mosaic — Polished. Natural marble sold by the box, $22.89 per sq ft. Samples available. Ships across the continental US.",Marble,"12"" x 12""",Versailles,Polished,White,8,8.0,0.375,22.89,sq ft,CAGOMARMOS247841
thaswhtbor1443,UPDATE,Thassos Pure White Marble Greek Key Border Corner w/ Black — Polished,"<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Greek Key</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Greek Key, Polished",Thassos Pure White Marble Greek Key Border Corner w/ Black — Polished,"Thassos Pure White Marble Greek Key Border Corner w/ Black — Polished. Natural marble sold by the piece, $107.82 per piece. Samples available. Ships across the continental US.",Marble,,Greek Key,Polished,White,1,,0.75,107.82,piece,THWHMARBOR973345
calgldswtplt2047,UPDATE,Calacatta Gold Marble 3-ROCKER Switch Plate Tile — Matte,"<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Finish</strong> — Matte</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Floor & Wall Tile, Natural Stone, Wall, White, Matte",Calacatta Gold Marble 3-ROCKER Switch Plate Tile — Matte,"Calacatta Gold Marble 3-ROCKER Switch Plate Tile — Matte. Natural marble sold by the piece, $41.58 per piece. Samples available. Ships across the continental US.",Marble,,,Matte,White,1,,0.375,41.58,piece,CAGOMARACC815541
polar-white-marble-2x12-chair-rail-trim-tile,UPDATE,"Polar White (Crystal Thassos) Marble Chair Rail Trim 2"" x 12"" — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 2"" x 12""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — Grey</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, Grey, Polished","Polar White (Crystal Thassos) Marble Chair Rail Trim 2"" x 12"" — Polish","Polar White (Crystal Thassos) Marble Chair Rail Trim 2"" x 12"" — Polished. Natural marble sold by the piece, $99.00 per piece. Samples available. Ships across the continental US.",Marble,"2"" x 12""",,Polished,Grey,1,,0.75,99.00,piece,POWHMARTRI281141
calgldmos1335,UPDATE,"Calacatta Gold White Marble Hexagon 1"" x 1"" Mosaic — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 1"" x 1""</li><li><strong>Finish</strong> — Polished</li><li><strong>Pattern</strong> — Hexagon</li><li><strong>Colour family</strong> — White</li><li><strong>Coverage</strong> — 6.8 sq ft per box (7 sheets)</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Mosaic Tile, Natural Stone, Backsplash, Wall, Shower Wall, Shower Floor, White, Hexagon, Polished, Micro Mosaic","Calacatta Gold White Marble Hexagon 1"" x 1"" Mosaic — Polished","Calacatta Gold White Marble Hexagon 1"" x 1"" Mosaic — Polished. Natural marble sold by the box, $25.01 per sq ft. Samples available. Ships across the continental US.",Marble,"1"" x 1""",Hexagon,Polished,White,7,6.8,0.375,25.01,sq ft,CAGOMARMOS845345
thaswhtbor1445,UPDATE,"Thassos Pure White Marble Florida Flower Border w/ Black 5 3/4"" x 11 1/4"" — Polished","<p>A natural marble, cut and finished for interiors. Every block comes out of the quarry differently, so shade, veining and movement shift from piece to piece — that variation is the material itself, not a fault in it.</p><ul><li><strong>Material</strong> — Marble</li><li><strong>Nominal size</strong> — 5 3/4"" x 11 1/4""</li><li><strong>Finish</strong> — Polished</li><li><strong>Colour family</strong> — White</li><li><strong>Sold by</strong> — the piece</li></ul><p>Order a sample before committing to a full floor or wall. We recommend adding 10–15% to your measured area for cuts and waste; 20% for herringbone, chevron and other diagonal layouts.</p>","Marble, Trim, Natural Stone, Wall, White, Polished","Thassos Pure White Marble Florida Flower Border w/ Black 5 3/4"" x 11 1","Thassos Pure White Marble Florida Flower Border w/ Black 5 3/4"" x 11 1/4"" — Polished. Natural marble sold by the piece, $95.56 per piece. Samples available. Ships across the continental US.",Marble,"5 3/4"" x 11 1/4""",,Polished,White,1,,0.75,95.56,piece,THWHMARBOR655713
